,知识点
164,['认识常见的立体图形']
165,['根据立体图形识别三视图']
166,['点线面体综合']
167,['点线面体综合']
168,['点线面体综合']
169,['点线面体综合']
170,['点线面体综合']
171,['点线面体综合']
172,['立体图形中的顶点、棱与面']
173,['认识常见的立体图形']
174,['根据立体图形识别三视图']
175,['点与线的位置关系']
176,['直线、射线和线段数条数计数']
177,['相交线的概念']
178,['圆周角和圆心角的识别']
179,"['按要求作直线、射线和线段', '直线、射线和线段数条数计数']"
180,['直线公理：两点确定一条直线']
181,['直线公理：两点确定一条直线']
182,['角的概念与识别']
183,['线段公理：两点之间线段最短']
184,['线段公理：两点之间线段最短']
185,['线段计算的分类讨论问题']
186,['线段计算的分类讨论问题']
187,['线段的等分点的相关计算与分类讨论']
188,['简单线段计算']
189,['有关线段中点的计算']
190,['直线、射线和线段数条数计数']
191,['直线、射线和线段数条数计数']
192,['有关线段中点的计算']
193,['简单线段计算']
194,['线段公理：两点之间线段最短']
195,['方向角问题']
196,"['方向角问题', '三角形内角和定理直接求解']"
197,"['方向角问题', '垂线与垂线段的概念']"
198,['尺规作图原理']
199,['角的概念与识别']
200,['余角与补角的定义与简单计算']
201,['余角与补角的定义与简单计算']
202,['余角与补角的定义与简单计算']
203,['余角与补角的定义与简单计算']
204,['余角与补角的定义与简单计算']
205,['正多边形与圆的关系']
206,"['正多边形的边心距', '用弧长公式求弧长']"
207,"['正多边形与圆的关系', '锐角三角函数的定义与计算综合']"
208,['正多边形的边心距']
209,['求三角形外接圆的半径']
210,['正多边形与圆']
211,"['正多边形的半径', '正多边形的边心距']"
212,['图形面积——分割、补形']
213,"['多边形的内角', '多边形的中心角']"
214,['多边形的外角']
215,['多边形的边和角综合题']
216,['多边形的外角']
217,['多边形的外角']
218,['根据边求多边形的对角线']
219,['正多边形镶嵌——单独图形']
220,['正多边形镶嵌——单独图形']
221,['正多边形镶嵌——三种图形组合']
222,['多边形的外角']
223,['根据对角线求多边形的边']
224,['根据对角线求多边形的边']
225,['根据对角线求多边形的边']
226,['根据对角线求多边形的边']
227,['根据边求多边形的对角线']
228,['根据对角线求多边形的边']
229,['角的简单计算——基础计算类']
230,"['角的简单计算——基础计算类', '邻补角互补相关计算']"
231,['与折叠相关的角度计算']
232,['角的分类讨论问题']
233,"['角的简单计算——两角重叠类问题', '利用旋转的性质的综合题']"
234,['角度的大小比较']
235,['角的简单计算——基础计算类']
236,['角度的大小比较']
237,['角度的大小比较']
238,['角度的大小比较']
239,['时间与物体影长、方向的关系']
240,['面与投影之间的形状、大小关系']
241,['物体投影的变化情况']
242,['物体投影的变化情况']
243,['求物体投影的长度、面积']
244,['物体投影的变化情况']
245,['物体投影的变化情况']
246,['根据物体画它的投影']
247,['区分真假命题']
248,['区分真假命题']
249,['区分真假命题']
250,['区分真假命题']
251,['区分真假命题']
252,['区分真假命题']
253,['区分真假命题']
254,['区分真假命题']
255,['相交线的交点问题']
256,['相交线的交点问题找规律']
257,['余角与补角的定义与简单计算']
258,['对顶角的识别']
259,['对顶角的识别']
260,['邻补角互补相关计算']
261,['同位角、内错角、同旁内角的识别']
262,['同位角、内错角、同旁内角的识别']
263,['同位角、内错角、同旁内角的识别']
264,['同位角、内错角、同旁内角的识别']
265,['余角与补角的定义与简单计算']
266,"['角的单位（度分秒）换算', '角的综合计算——含角分线的计算', '对顶角相等相关计算']"
267,"['角的简单计算——基础计算类', '邻补角互补相关计算']"
268,"['角的简单计算——基础计算类', '对顶角相等相关计算']"
269,['对顶角相等相关计算']
270,['用同角（等角）的补角或余角相等']
271,['余角与补角的定义与简单计算']
272,"['余角与补角的定义与简单计算', '对顶角相等相关计算']"
273,['垂线段最短']
274,['垂线段最短']
275,['平行公理及其推论']
276,['平行线的判定']
277,"['点到直线的距离', '平行线的判定']"
278,['平行线的判定']
279,['平行公理及其推论']
280,['点到直线的距离']
281,['角的简单计算——基础计算类']
282,['邻补角的识别']
283,['同位角、内错角、同旁内角的识别']
284,['根据平均数求其中一个数']
285,['根据平均数求其中一个数']
286,['求一组数据的加权平均数']
287,['求一组数据的加权平均数']
288,['会求一组数的中位数']
289,['平均数、中位数和众数综合']
290,['会求一组数的中位数']
291,['平均数、中位数和众数综合']
292,['平均数、中位数和众数综合']
293,['根据平均数求其中一个数']
294,['根据条形统计图读取数据并计算']
295,['统计数据综合']
296,['统计数据综合']
297,['统计数据综合']
298,['统计数据综合']
299,['统计数据综合']
300,['利用方差解决实际问题']
301,['分辨随机、必然和不可能事件']
302,['利用方差解决实际问题']
303,['根据实际需要选择恰当的统计量']
304,['根据实际需要选择恰当的统计量']
305,['根据实际需要选择恰当的统计量']
306,['两两分组之提两次公因式法']
307,"['平方差公式和完全平方公式分解综合', '一三分组后进行因式分解']"
308,['两两分组之先平方差再提公因式']
309,['两两分组之先平方差再提公因式']
310,['一三分组后进行因式分解']
311,"['两两分组之提两次公因式法', '两两分组之先平方差再提公因式', '一三分组后进行因式分解']"
312,['两两分组之先平方差再提公因式']
313,['两两分组之提两次公因式法']
314,['两两分组之提两次公因式法']
315,['一三分组后进行因式分解']
316,['综合应用提公因式法和十字相乘法']
317,['综合应用提公因式法和十字相乘法']
318,"['二次项系数为+1的十字相乘法', '两两分组之提两次公因式法']"
319,['二次项系数为正的十字相乘法']
320,['二次项系数为+1的十字相乘法']
321,['利用十字相乘法反求参数']
322,['二次项系数为+1的十字相乘法']
323,['二次项系数为+1的十字相乘法']
324,"['两两分组之提两次公因式法', '综合应用提公因式法和十字相乘法']"
325,['长式子十字相乘']
326,['利用因式分解化简求值']
327,['利用因式分解化简求值']
328,['因式分解与三角形综合']
329,['因式分解与三角形综合']
330,['两两分组之提两次公因式法']
331,['利用因式分解巧算']
332,['利用因式分解化简求值']
333,['用因式分解解决整除性问题']
334,['因式分解与三角形综合']
335,['二次项系数为正的十字相乘法']
336,['利用相反数性质的综合题']
337,['有理数的识别分类综合']
338,['有理数的识别']
339,['有理数的识别分类综合']
340,['实数的识别']
341,"['绝对值的代数意义', '正负数的识别']"
342,['求一个数的绝对值']
343,['乘方的计算']
344,['求一个数的绝对值']
345,['绝对值的非负性']
346,['偶次方的非负性']
347,['偶次方的非负性']
348,['有理数的加减混合运算']
349,['有理数的加法——同号两数相加']
350,['有理数的减法——两个数的减法']
351,['有理数的加减混合运算']
352,['有理数的加减混合运算']
353,['有理数的加减混合运算']
354,['有理数的运算技巧——分组搭配']
355,['有理数的加减混合运算']
356,['切线的性质']
357,['运用切线长定理计算']
358,['运用切线长定理计算']
359,['运用切线长定理计算']
360,['运用切线长定理证明']
361,['圆与相似']
362,['综合运用切线的性质与判定证明']
363,['运用切线长定理计算']
364,['运用切线长定理计算']
365,['运用切线长定理计算']
366,['综合运用切线的性质与判定计算']
367,['运用切线长定理计算']
368,['运用切线长定理计算']
369,['切线的性质']
370,['根据点与圆位置关系进行计算']
371,['确定点和圆的位置关系']
372,['确定点和圆的位置关系']
373,['确定点和圆的位置关系']
374,['根据点与圆位置关系进行计算']
375,['确定圆的条件']
376,"['用垂径定理解决实际问题', '确定圆的条件']"
377,"['用垂径定理解决实际问题', '确定圆的条件']"
378,['会作外接圆或外心']
379,['一元一次方程的识别']
380,['正负数的意义与表示']
381,['数的整除']
382,['实数的性质综合']
383,['图形面积——分割、补形']
384,['利用相反数性质的综合题']
385,"['利用相反数性质的综合题', '利用倒数性质的综合题']"
386,['合并同类项']
387,"['去括号', '添括号']"
388,"['近似数', '有效数字']"
389,['利用等式性质变形']
390,['直接整式的加减']
391,['利用不等关系判断字母的正负']
392,['整式的恒等变形——整体思想']
393,['借助数轴化简绝对值']
394,"['利用相反数性质的综合题', '绝对值的代数意义']"
395,['平方差公式的几何背景']
396,['等式的基本性质']
397,['直线、射线、线段的基本概念']
398,['需要去分母']
399,['根据立体图形识别三视图']
400,['角的个数问题']
401,['角的简单拼合与平分']
402,['点线面体综合']
403,['相交线的交点问题']
404,['正方体的展开图']
405,['线段的等分点的相关计算与分类讨论']
406,['同类项的识别']
407,['科学记数法——表示较大的数']
408,['整式加减的综合运用']
409,['有理数的除法']
410,['偶次方的非负性']
411,['有效数字']
412,['合并同类项']
413,['利用题设条件化简绝对值']
414,['借助数轴化简绝对值']
415,['根据数轴判断不等关系']
416,['百分数']
417,['百分数']
418,['百分数']
419,['百分数']
420,['百分数']
421,['百分数']
422,['百分数']
423,['百分数']
424,['百分数']
425,['百分数']
426,['百分数']
427,['百分数']
428,['百分数']
429,['百分数']
430,['百分数']
431,['有理数大小比较']
432,['数轴上点的距离']
433,['多项式的识别']
434,['幂的混合运算']
435,['合并同类项']
436,"['去括号', '添括号']"
437,"['移项、合并、系数化为1的', '需要去分母']"
438,['单层单个绝对值的']
439,['利用题设条件化简绝对值']
440,['代数式整体思想求值']
441,['借助数轴化简绝对值']
442,['绝对值的几何意义']
443,['比例的性质相关计算']
444,['比例的性质相关计算']
445,['比例的性质相关计算']
446,['比例的性质相关计算']
447,['比例的性质相关计算']
448,['利用等比性质解题']
449,['比例的性质相关计算']
450,['比例的性质相关计算']
451,['利用等比性质解题']
452,['点到坐标轴的距离']
453,['各象限点的坐标特征']
454,['与其它知识点综合']
455,['根据坐标描点、根据点写坐标']
456,['与其它知识点综合']
457,['平行于坐标轴的直线上的点的坐标特征']
458,['平面直角坐标系中的面积']
459,"['各象限点的坐标特征', '通过距离确定点坐标', '点到点']"
460,['用配方法解一元二次方程的过程']
461,['用配方法解一元二次方程的过程']
462,['用配方法解一元二次方程的过程']
463,['用配方法解一元二次方程的过程']
464,['根据根的情况求参数']
465,['用公式法求解一元二次方程']
466,['解高次整式方程']
467,['用公式法求解一元二次方程']
468,['用公式法求解一元二次方程']
469,['解含参的一元二次方程——巧用换元法解一元二次方程']
470,['解含参的一元二次方程——巧用换元法解一元二次方程']
471,['解含参的一元二次方程——巧用换元法解一元二次方程']
472,['解含参的一元二次方程——巧用换元法解一元二次方程']
473,['解含参的一元二次方程——巧用换元法解一元二次方程']
474,['提公因式法解一元二次方程']
475,['提公因式法解一元二次方程']
476,['运用公式法解一元二次方程']
477,['一元二次方程实际应用——几何问题']
478,['勾股定理求边长']
479,['一次函数与一元一次不等式结合']
480,['一次函数与一元一次不等式结合']
481,['一次函数与一元一次不等式结合']
482,['一次函数与一元一次不等式结合']
483,['一次函数与一元一次不等式结合']
484,['一次函数的性质综合']
485,['一次函数与一元一次不等式结合']
486,['一次函数与一元一次不等式结合']
487,['一次函数与一元一次不等式结合']
488,['乘方的计算']
489,['同类项的识别']
490,['合并同类项']
491,['多项式的项、项数与次数识别']
492,['数轴上点的距离']
493,['判断某数是否为一元一次方程的解']
494,['根据数轴判断不等关系']
495,['利用题设条件化简绝对值']
496,['有理数的乘除法混合运算']
497,['分数的乘法']
498,['分数的除法']
499,['分数的除法']
500,['分数的除法']
501,['分数的除法']
502,['分数的除法']
503,['分数的乘法']
504,['分数的乘法']
505,['有理数的乘法——多个数相乘']
506,['利用题设条件化简绝对值']
507,['有理数的乘除法混合运算']
508,['乘方的计算']
509,['乘方的计算']
510,['乘方的计算']
511,['实数比较大小——直接估算法']
512,['乘方的计算']
513,['乘方的计算']
514,['乘方的计算']
515,"['乘方的计算', '正负数的识别']"
516,['乘方的计算']
517,['求一个数的绝对值']
518,['多项式的识别']
519,['同类项的识别']
520,['一元一次方程的识别']
521,['正负数的意义与表示']
522,['有理数的分类']
523,['需要去分母']
524,['点线面体综合']
525,['有关线段中点的计算']
526,['等式的基本性质']
527,['用公式法求解一元二次方程']
528,['识别一元二次方程的a、b、c']
529,['用公式法求解一元二次方程']
530,['用公式法求解一元二次方程']
531,['解含绝对值的一元二次方程']
532,['识别一元二次方程的a、b、c']
533,['求一个数的相反数']
534,['有理数大小比较']
535,['科学记数法——表示较大的数']
536,['同类项的识别']
537,['一元一次方程的识别']
538,['根据立体图形识别三视图']
539,['正方体对面与邻面的数字、文字问题']
540,['等式的基本性质']
541,['用方程描述实际问题中的相等关系']
542,['数表的规律']
543,['利用题设条件化简绝对值']
544,['直接整式的加减']
545,['有理数的识别分类综合']
546,['单项式的系数与次数识别']
547,['近似数']
548,['利用数轴比较大小']
549,['等式的基本性质']
550,['用方程描述实际问题中的相等关系']
551,['不定方程的应用']
552,['求一个数的绝对值']
553,['求一个数的倒数']
554,['有理数大小比较']
555,['有理数的除法']
556,['单项式的识别']
557,['列代数式']
558,['根据数轴判断不等关系']
559,['去括号']
560,['求一个数的相反数']
561,['利用题设条件化简绝对值']
562,['科学记数法——表示较大的数']
563,['添括号']
564,"['利用平方差公式进行计算——二项式', '完全平方公式的计算——整式的']"
565,['同分母分式的加减法']
566,"['同底数幂除法', '负指数相关混合运算']"
567,['利用平移设计图案']
568,"['识别轴对称图形', '中心对称图形的识别']"
569,['正负数与实际问题']
570,['科学记数法——表示较大的数']
571,"['有理数大小比较', '绝对值的代数意义']"
572,['偶次方的非负性']
573,['根据同类项求参数']
574,['根据解求一元一次方程中的参数值']
575,['等式的基本性质']
576,['一元一次方程的应用——销售问题']
577,['借助数轴化简绝对值']
578,['整式的恒等变形——赋值法']
579,['有理数的运算技巧——裂项相消法']
580,['求一个数的绝对值']
581,['正负数的识别']
582,['有理数的乘法——多个数相乘']
583,['有理数的混合运算']
584,['有理数的加减混合运算']
585,['与乘方相关的实际问题']
586,['乘方的计算']
587,['近似数']
588,['乘方的计算']
589,['根据数轴判断不等关系']
590,"['求一个数的相反数', '求一个数的倒数']"
591,['数轴上点的距离']
592,['正负数的识别']
593,"['利用相反数性质的综合题', '乘方的计算']"
594,['截一个几何体']
595,['合并同类项']
596,['绝对值的代数意义']
597,['数轴的认识与定义']
598,['乘方的计算']
599,['有理数的识别分类综合']
600,['因式分解的概念']
601,['二元一次方程的解']
602,['二元一次方程组的实际应用——与几何问题相关']
603,['分辨随机、必然和不可能事件']
604,['判断哪些调查适用抽样调查或全面调查']
605,['分辨随机、必然和不可能事件']
606,['逆用完全平方公式的计算']
607,['求一个数的绝对值']
608,['乘方的计算']
609,['一元一次方程的识别']
610,['单项式的系数与次数识别']
611,['合并同类项']
612,['判断某数是否为一元一次方程的解']
613,['利用倒数性质的综合题']
614,['方向角问题']
615,['展开图还原成常见几何体']
616,['根据数轴判断不等关系']
617,['求一个数的绝对值']
618,['科学记数法——表示较大的数']
619,['乘方的计算']
620,['点与线的位置关系']
621,"['直线公理：两点确定一条直线', '线段公理：两点之间线段最短']"
622,['数轴上的简单平移']
623,"['科学记数法——化为原数', '近似数']"
624,['判断哪些调查适用抽样调查或全面调查']
625,['用样本估计总体']
626,['利用相反数性质的综合题']
627,['利用数轴比较大小']
628,['有理数的运算技巧——分组搭配']
629,['正负数的识别']
630,['乘方的计算']
631,['利用数轴比较大小']
632,['列代数式']
633,['带有图案等细节的立方体展开图问题']
634,['截一个几何体']
635,['科学记数法——表示较大的数']
636,['去括号']
637,"['利用相反数性质的综合题', '乘方的计算']"
638,['合并同类项']
639,['绝对值的代数意义']
640,['根据同类项求参数']
641,['数轴的认识与定义']
642,['有理数大小比较']
643,['代数式整体思想求值']
644,['科学记数法——表示较大的数']
645,['单项式的识别']
646,['根据解求一元一次方程中的参数值']
647,['二元一次方程组的实际应用——古典数学问题']
648,['一元一次方程的应用——日历问题']
649,['实数的分类']
650,['二次根式的乘法计算']
651,['会根据一次函数图像分布求系数']
652,['解二元一次方程组——加减消元法']
653,['设计图案']
654,['一般三角形全等的判定法则']
655,['一次函数的增减性']
656,"['角的简单计算——基础计算类', '三角形内角和定理直接求解']"
657,['求二元一次方程的整数解']
658,['勾股定理与简单实际问题']
659,"['用待定系数法求一次函数解析式', '利用轴对称求线段和最小问题']"
660,['不定方程的应用']
661,['全等三角形的应用']
662,['求一个数的相反数']
663,['正负数的意义与表示']
664,['科学记数法——表示较大的数']
665,['合并同类项']
666,['有理数与数轴']
667,['解二元一次方程组——加减消元法']
668,['余角与补角的定义与简单计算']
669,['列代数式']
670,['一元一次方程的应用——日历问题']
671,['带有图案等细节的立方体展开图问题']
672,['多项式的项、项数与次数识别']
673,['绝对值的非负性']
674,['求一个数的相反数']
675,['科学记数法——表示较大的数']
676,['整式的乘除混合运算']
677,"['用提公因式法分解因式', '提取公因式与平方差综合']"
678,['提取公因式与完全平方公式综合']
679,['利用数轴比较大小']
680,['求一个数的倒数']
681,['利用平方差巧算']
682,['科学记数法——表示较大的数']
683,['利用相反数性质的综合题']
684,['有理数大小比较']
685,['根据同类项求参数']
686,['直接整式的加减']
687,['合并同类项']
688,['直接整式的加减']
689,['去括号']
690,['根据数轴判断不等关系']
691,['实数的性质综合']
692,['判断哪些调查适用抽样调查或全面调查']
693,['科学记数法——表示较大的数']
694,['合并同类项']
695,['截一个几何体']
696,['带有图案等细节的立方体展开图问题']
697,['正负数与实际问题']
698,['有理数的应用']
699,"['直线、射线、线段的基本概念', '直线公理：两点确定一条直线', '线段公理：两点之间线段最短', '有关线段中点的计算']"
700,"['角的综合计算——双角分线问题', '邻补角互补相关计算']"
701,"['绝对值的代数意义', '求一个数的平方根']"
702,['点线面体综合']
703,['常见几何体的展开图']
704,['正方体的展开图']
705,['截一个几何体']
706,['根据立体图形识别三视图']
707,"['有理数的识别', '正负数的识别']"
708,['数轴上点的距离']
709,['科学记数法——表示较大的数']
710,['正负数与实际问题']
711,['正负数的识别']
712,['数列的规律']
713,['借助数轴化简绝对值']
714,['科学记数法——表示较大的数']
715,['会根据三视图判断立体图形形状']
716,['列代数式']
717,['线段公理：两点之间线段最短']
718,['根据同类项求参数']
719,['调查收集数据的过程与方法']
720,['根据立体图形识别三视图']
721,['根据数轴判断不等关系']
722,['根据边求多边形的对角线']
723,['一元一次方程的应用——行程追及问题']
724,['图形的规律']
725,['求一个数的绝对值']
726,['科学记数法——表示较大的数']
727,['正方体的展开图']
728,['单项式的系数与次数识别']
729,['同类项的识别']
730,['乘方的计算']
731,['程序类问题']
732,['角的综合计算——含角分线的计算']
733,['判断哪些调查适用抽样调查或全面调查']
734,['会根据扇形统计图进行计算']
735,['有理数的乘法——多个数相乘']
736,['一元一次方程的应用——销售问题']
737,['图形的规律']
738,['科学记数法——表示较大的数']
739,['多项式的项、项数与次数识别']
740,['直线、射线、线段的基本概念']
741,['合并同类项']
742,['一元一次方程的应用——数字问题']
743,['余角与补角的定义与简单计算']
744,['需要去分母']
745,['点线面体综合']
746,['方向角问题']
747,['乘方的计算']
748,['同类项的识别']
749,['判断某数是否为一元一次方程的解']
750,['去括号']
751,['科学记数法——表示较大的数']
752,['单项式的系数与次数识别']
753,['正方体的展开图']
754,['判断某数是否为一元一次方程的解']
755,['利用数轴比较大小']
756,['求一个数的相反数']
757,['科学记数法——表示较大的数']
758,['乘方的计算']
759,['合并同类项']
760,['线段公理：两点之间线段最短']
761,['会根据三视图判断立体图形形状']
762,['根据解求一元一次方程中的参数值']
763,['利用数轴比较大小']
764,['代数式整体思想求值']
765,['线段的等分点的相关计算与分类讨论']
766,['与其它知识点综合']
767,['有理数大小比较']
768,['科学记数法——表示较大的数']
769,['合并同类项']
770,['根据解求一元一次方程中的参数值']
771,['偶次方的非负性']
772,['根据立体图形识别三视图']
773,['余角与补角的定义与简单计算']
774,['用方程描述实际问题中的相等关系']
775,['数轴找原点问题']
776,['带有图案等细节的立方体展开图问题']
777,['数轴上点的距离']
778,['直线公理：两点确定一条直线']
779,['整式加减的综合运用']
780,['直线、射线、线段的基本概念']
781,['识别图形的旋转现象']
782,['简单线段计算']
783,"['有关线段中点的计算', '线段计算的分类讨论问题']"
784,['解三角板拼接问题']
785,['乘方的计算']
786,['解三角板拼接问题']
787,['识别图形的旋转现象']
788,['角的综合计算——含角分线的计算']
789,['角的单位（度分秒）换算']
790,['新定义型题目——与函数相关新定义']
791,['余角与补角的定义与简单计算']
792,['求一个数的相反数']
793,['单项式的系数与次数识别']
794,"['利用相反数性质的综合题', '利用倒数性质的综合题']"
795,['一元一次方程的识别']
796,['根据同类项求参数']
797,['偶次方的非负性']
798,['合并同类项']
799,['利用余角补角列方程求解问题']
800,['借助数轴化简绝对值']
801,['数表的规律']
802,['与折叠相关的角度计算']
803,['求一个数的相反数']
804,['有理数大小比较']
805,['立体图形中的顶点、棱与面']
806,['乘方的计算']
807,['余角与补角的定义与简单计算']
808,['有理数的混合运算']
809,['有理数的加法——异号两数相加']
810,['利用倒数性质的综合题']
811,['求一个数的平方根']
812,['正负数的识别']
813,['比较线段的长短']
814,['偶次方的非负性']
815,['余角与补角的定义与简单计算']
816,['时针与分针（钟面角）问题']
817,['角的简单计算——两角重叠类问题']
818,['数轴上点的距离']
819,['求一个数的相反数']
820,['有理数的减法——两个数的减法']
821,['有理数大小比较']
822,"['利用相反数性质的综合题', '绝对值的代数意义']"
823,['利用数轴比较大小']
824,['科学记数法——表示较大的数']
825,['多项式的项、项数与次数识别']
826,['同类项的识别']
827,['带有系数的整式的加减']
828,['单项式找规律']
829,['求一个数的相反数']
830,['求一个数的绝对值']
831,['有理数大小比较']
832,['有理数的加法——异号两数相加']
833,['有理数的乘法——多个数相乘']
834,['比较线段的长短']
835,['角度的大小比较']
836,['确定点和圆的位置关系']
837,['求代数式的值']
838,['直接整式的加减']
839,['求一个数的相反数']
840,['有理数的加法——异号两数相加']
841,['科学记数法——表示较大的数']
842,['单项式的系数与次数识别']
843,['数轴上点的距离']
844,['移项、合并、系数化为1的']
845,['有理数的混合运算']
846,['列代数式']
847,['需要去分母']
848,['根据同类项求参数']
849,['根据立体图形识别三视图']
850,['利用余角补角列方程求解问题']
851,['近似数']
852,['有理数的应用']
853,['用方程描述实际问题中的相等关系']
854,['图形的规律']
855,['有理数的减法——两个数的减法']
856,['有理数大小比较']
857,"['直线公理：两点确定一条直线', '线段公理：两点之间线段最短']"
858,['旋转的性质']
859,['移项、合并、系数化为1的']
860,['直接整式的加减']
861,['余角与补角的定义与简单计算']
862,['用方程描述实际问题中的相等关系']
863,['整式加减的综合运用']
864,['旋转的性质']
865,['数轴找原点问题']
866,['一元一次方程的应用——几何问题']
867,['会根据三视图判断立体图形形状']
868,['正方体的展开图']
869,['数轴的认识与定义']
870,['正负数的识别']
871,['点线面体综合']
872,['正方体对面与邻面的数字、文字问题']
873,['有理数大小比较']
874,['有理数的加减混合运算']
875,['新定义型题目——定义新运算']
876,['求一个数的相反数']
877,"['有理数的混合运算', '移项、合并、系数化为1的']"
878,['根据解求一元一次方程中的参数值']
879,['根据同类项求参数']
880,['会根据要求画出旋转后的图形']
881,"['有关线段中点的计算', '线段计算的分类讨论问题']"
882,['列代数式']
883,['代数式整体思想求值']
884,['列代数式']
885,['列代数式']
886,['利用数轴比较大小']
887,['用方程描述实际问题中的相等关系']
888,['求一个数的倒数']
889,['正负数的意义与表示']
890,['多项式的项、项数与次数识别']
891,['正负数的识别']
892,['科学记数法——表示较大的数']
893,['同类项的识别']
894,['有理数大小比较']
895,['列代数式']
896,['单项式找规律']
897,['程序类问题']
898,['截一个几何体']
899,['根据立体图形识别三视图']
900,['科学记数法——表示较大的数']
901,['正负数的识别']
902,['有理数的识别分类综合']
903,['有理数的分类']
904,['有理数大小比较']
905,['根据三视图计算立方体的个数']
906,['有理数的识别分类综合']
907,['求一个数的相反数']
908,['移项、合并、系数化为1的']
909,['科学记数法——表示较大的数']
910,['带有系数的整式的加减']
911,['单项式的系数与次数识别']
912,['去括号']
913,['线段公理：两点之间线段最短']
914,['需要去分母']
915,['分辨随机、必然和不可能事件']
916,['有理数的混合运算']
917,['正方体的展开图']
